"Planet","Grid","CurrentSector","Reason","SuggestedWookieepediaTitle","GridCategoryUrl"
"Jerrilek","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Jerrilek","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Jilrua","R12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Jilrua","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-12"
"Joodrudda","S4","Corporate Sector","Matching Wookieepedia page has no usable sector field.","Joodrudda","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-4"
"Junction","O5","Thesme","No matching page title in the Wookieepedia grid category.","Junction","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-5"
"K'taktaxka","J14","Jandur Sector","Matching Wookieepedia page has no usable sector field.","K'taktaxka system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-14"
"Kadavo","S4","Ammuud Sector","Matching Wookieepedia page has no usable sector field.","Kadavo","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-4"
"Kafane","S9","Hutt Space","Matching Wookieepedia page has no usable sector field.","Kafane","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-9"
"Kailor","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Kailor system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Kalee","J4","Bextar Sector","Matching Wookieepedia page has no usable sector field.","Kalee","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-4"
"Kalist","K12","Botor Sector","Matching Wookieepedia page has no usable sector field.","Kalist system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-12"
"Kalsunor","R5","Sith Worlds","No matching page title in the Wookieepedia grid category.","Kalsunor","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-5"
"Kamar","S3","Corporate Sector","Matching Wookieepedia page has no usable sector field.","Kamar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-3"
"Kamino","S15","Abrion sector","Matching Wookieepedia page has no usable sector field.","Kamino/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-15"
"Kattada","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Kattada","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Keldooine","R10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Keldooine","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-10"
"Kesh","U10","Bheriz Sector","Matching Wookieepedia page has no usable sector field.","Kesh","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_U-10"
"Ketal","L14","Janara Sector","Matching Wookieepedia page has no usable sector field.","Ketal","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-14"
"Khomm","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Khomm","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"Kidiet Olgo","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Kidiet Olgo","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Kinooine","J21","Imynusoph Sector","Matching Wookieepedia page has no usable sector field.","Kinooine","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-21"
"Kira","N15","Kira","No matching page title in the Wookieepedia grid category.","Kira","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-15"
"Kleeva","R11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Kleeva","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-11"
"Kloper","N9","Berri Sector","Matching Wookieepedia page has no usable sector field.","Kloper","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-9"
"Kluistar","M8","Arkania Sector","Matching Wookieepedia page has no usable sector field.","Kluistar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-8"
"Koensayr","N12","Ailon Sector","Matching Wookieepedia page has no usable sector field.","Koensayr","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-12"
"Kooriva","M14","Arkam Sector","Matching Wookieepedia page has no usable sector field.","Kooriva","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-14"
"Korbin","J14","Jandur Sector","Matching Wookieepedia page has no usable sector field.","Korbin","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-14"
"Korda Six","O8","Alpheridies Sector","Matching Wookieepedia page has no usable sector field.","Korda Six","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-8"
"Korfo","M9","Adari Sector","Matching Wookieepedia page has no usable sector field.","Korfo system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-9"
"Krayiss","R4","Sith Worlds","No matching page title in the Wookieepedia grid category.","Krayiss","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-4"
"Kwookrrr","Q9","Mytaranor","No matching page title in the Wookieepedia grid category.","Kwookrrr","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_Q-9"
"Laakteen Depot","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Laakteen Depot system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Laertos","L14","Janara Sector","Matching Wookieepedia page has no usable sector field.","Laertos","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-14"
"Lah'mu","L4","Raioballo","No matching page title in the Wookieepedia grid category.","Lah'mu","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-4"
"Lamaredd","S18","Lamaredd Sector","Matching Wookieepedia page has no usable sector field.","Lamaredd","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-18"
"Lankashiir","N11","Cato Neimoidia Sector","Matching Wookieepedia page has no usable sector field.","Lankashiir","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-11"
"Lansono","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Lansono","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"Las Lagon","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Las Lagon","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Lasan","P20","Lasan Sector","Matching Wookieepedia page has no usable sector field.","Lasan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-20"
"Leria Kerlsil","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Leria Kerlsil","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Lettow","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Lettow","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Levian","N8","Asrat Sector","Matching Wookieepedia page has no usable sector field.","Levian system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-8"
"Lialic","K12","Botor Sector","Matching Wookieepedia page has no usable sector field.","Lialic system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-12"
"Lolnar","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Lolnar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Loretto","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Loretto","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Loronar","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Loronar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Lujo","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Lujo","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"M'Hanna","T11","Hutt Space","Matching Wookieepedia page has no usable sector field.","M'Hanna","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-11"
"Malagarr","V8","Malagarr Sector","Matching Wookieepedia page has no usable sector field.","Malagarr/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_V-8"
"Malestrom Nebula","K5","Albarrio","No matching page title in the Wookieepedia grid category.","Malestrom Nebula","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-5"
"Manaan","O11","Belasco Sector","Matching Wookieepedia page has no usable sector field.","Manaan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-11"
"Mandalore & Concordia","O7","Mandalore","No matching page title in the Wookieepedia grid category.","Mandalore & Concordia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-7"
"Manress","N9","Berri Sector","Matching Wookieepedia page has no usable sector field.","Manress","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-9"
"Mattri","O10","The Slice","Matching Wookieepedia page has no usable sector field.","Mattri system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-10"
"Mawan","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Mawan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Meastrinnar","K8","Aphran Sector","Matching Wookieepedia page has no usable sector field.","Meastrinnar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-8"
"Mechis III","L14","Janara Sector","Matching Wookieepedia page has no usable sector field.","Mechis III","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-14"
"Mendicat","I8","Freestanding Subsectors","Matching Wookieepedia page has no usable sector field.","Mendicat","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-8"
"Merakai","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Merakai","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Merson","O10","Airon","Matching Wookieepedia page has no usable sector field.","Merson","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-10"
"Meryx Minor","O19","Sujimis","No matching page title in the Wookieepedia grid category.","Meryx Minor","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-19"
"Metellos","K9","Corusca Sector","No matching page title in the Wookieepedia grid category.","Metellos","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Milvayne","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Milvayne","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Mindor","M8","Arkania Sector","Matching Wookieepedia page has no usable sector field.","Mindor/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-8"
"Mokk IX","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","Mokk IX","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
"Moonus","R14","Bothan Space","No matching page title in the Wookieepedia grid category.","Moonus","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-14"
"Moorja","L15","Borkyne Sector","Matching Wookieepedia page has no usable sector field.","Moorja","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-15"
"Moralan","T10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Moralan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-10"
"Mortis","K2","Mortis Sector","Matching Wookieepedia page has no usable sector field.","Mortis","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-2"
"Motexx","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Motexx","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Murgo","I7","Freestanding Subsectors","Matching Wookieepedia page has no usable sector field.","Murgo system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-7"
"Myrkr","N7","Aquaris Sector","Matching Wookieepedia page has no usable sector field.","Myrkr","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-7"
"Mytus","S3","Abo Dreth Sector","Matching Wookieepedia page has no usable sector field.","Mytus system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-3"
"Nal Hutta & Nar Shaddaa","S12","Hutt Space","No matching page title in the Wookieepedia grid category.","Nal Hutta & Nar Shaddaa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-12"
"Naos","S18","Lamaredd Sector","Matching Wookieepedia page has no usable sector field.","Naos system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-18"
"Nar Bo Sholla","R10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Nar Bo Sholla","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-10"
"Nar Haaska","T11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Nar Haaska","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-11"
"Nar Kaaga","S13","Hutt Space","Matching Wookieepedia page has no usable sector field.","Nar Kaaga","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-13"
"Nar Kreeta","S10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Nar Kreeta","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-10"
"Nara","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Nara system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Near Pando","S14","Hutt Space","Matching Wookieepedia page has no usable sector field.","Near Pando","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-14"
"Needan","I20","Needan Sector","Matching Wookieepedia page has no usable sector field.","Needan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-20"
"New Balosar","K16","Arc d'Stot","No matching page title in the Wookieepedia grid category.","New Balosar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-16"
"Nierport","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Nierport system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Nimban","S10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Nimban","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-10"
"Nimia","S9","Hutt Space","Matching Wookieepedia page has no usable sector field.","Nimia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-9"
"Ninzan","P17","Ryndellian","No matching page title in the Wookieepedia grid category.","Ninzan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-17"
"Noquivzor","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Noquivzor","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Norah","L14","Janara Sector","Matching Wookieepedia page has no usable sector field.","Norah","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-14"
"Norkronia","K10","Alland Sector","Matching Wookieepedia page has no usable sector field.","Norkronia system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-10"
"Omar","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Omar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Omonoth","M8","Arkania Sector","Matching Wookieepedia page has no usable sector field.","Omonoth","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-8"
"Onderon & Dxun","O9","Japrael","No matching page title in the Wookieepedia grid category.","Onderon & Dxun","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-9"
"Ophideraan","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Ophideraan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Ord Antalaha","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Ord Antalaha","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Ord Lithone","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Ord Lithone","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Ord Mirit","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Ord Mirit","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Orondia","S11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Orondia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-11"
"Osadia","","Osadia Sector","No NavData grid is assigned.","Osadia",""
"Osssorck Nebulae","J12","Inysh Sector","Matching Wookieepedia page has no usable sector field.","Osssorck Nebulae","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-12"
"Ottabesk","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Ottabesk/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Outland Transit","T12","Hutt Space","No matching page title in the Wookieepedia grid category.","Outland Transit","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-12"
"Pa Tho","K14","Dulin Sector","Matching Wookieepedia page has no usable sector field.","Pa Tho","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-14"
"Palawa","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Palawa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Paonid","O8","Alpheridies Sector","Matching Wookieepedia page has no usable sector field.","Paonid system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-8"
"Paqualis III","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Paqualis III","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Parkis","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Parkis system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Parthovian Cluster","T4","Parthovian Cluster Sector","Matching Wookieepedia page has no usable sector field.","Parthovian Cluster","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-4"
"Pavo Prime","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","Pavo Prime","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
"Pencael","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Pencael system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Pengalan","O8","Alpheridies Sector","Matching Wookieepedia page has no usable sector field.","Pengalan system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-8"
"Per Lupelo","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Per Lupelo","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Perin","S3","Corporate Sector","No matching page title in the Wookieepedia grid category.","Perin","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-3"
"Perithal VI","N13","Chardaan Sector","No matching page title in the Wookieepedia grid category.","Perithal VI","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-13"
"Perma","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Perma","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Phu","J13","Bardotta Sector","Matching Wookieepedia page has no usable sector field.","Phu","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-13"
"Pitrolea","L14","Janara Sector","No matching page title in the Wookieepedia grid category.","Pitrolea","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-14"
"Plexis","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Plexis","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Plooma","L3","Veragi","No matching page title in the Wookieepedia grid category.","Plooma","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-3"
"Pluthan","U8","Antipose Sector","Matching Wookieepedia page has no usable sector field.","Pluthan system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_U-8"
"Porus Vida","O9","Algnadesh Sector","Matching Wookieepedia page has no usable sector field.","Porus Vida","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-9"
"Poytta","T12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Poytta","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-12"
"Pria","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Pria","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Primus Goluud","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Primus Goluud","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Pybus","S11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Pybus","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-11"
"Qonto","J3","Dolis Sector","Matching Wookieepedia page has no usable sector field.","Qonto system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-3"
"Quarzite","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Quarzite","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Ques","S8","Hutt Space","Matching Wookieepedia page has no usable sector field.","Ques","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-8"
"Quesh","S10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Quesh","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-10"
"Quintas","J19","Kriz","No matching page title in the Wookieepedia grid category.","Quintas","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-19"
"Rago","I7","Rago","Matching Wookieepedia page has no usable sector field.","Rago/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-7"
"Ragoon","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Ragoon system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Raithal","M9","Adari Sector","Matching Wookieepedia page has no usable sector field.","Raithal","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-9"
"Rakata Prime","G11","Rakata Prime Sector","Matching Wookieepedia page has no usable sector field.","Rakata Prime","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_G-11"
"Rakhuuun","P9","Mytaranor","No matching page title in the Wookieepedia grid category.","Rakhuuun","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-9"
"Rasterous","O10","Ambria Sector","Matching Wookieepedia page has no usable sector field.","Rasterous","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-10"
"Raxxa","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Raxxa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Recopia","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Recopia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Red Nebula","G21","Red Nebula Sector","Matching Wookieepedia page has no usable sector field.","Red Nebula","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_G-21"
"Reecee","J8","Belassar Sector","Matching Wookieepedia page has no usable sector field.","Reecee/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-8"
"Rehemsa","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Rehemsa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Rekkiad","","Chorlian","No NavData grid is assigned.","Rekkiad",""
"Relatta","N8","Asrat Sector","Matching Wookieepedia page has no usable sector field.","Relatta system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-8"
"Rendili","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Rendili","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Renillis","L14","Janara Sector","Matching Wookieepedia page has no usable sector field.","Renillis system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-14"
"Resht","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","Resht system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
"Riileb","T12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Riileb/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-12"
"Rnda","T10","Kessel","No matching page title in the Wookieepedia grid category.","Rnda","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-10"
"Rodia","Q16","Savareen","No matching page title in the Wookieepedia grid category.","Rodia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_Q-16"
"Rondai","J8","Belassar Sector","Matching Wookieepedia page has no usable sector field.","Rondai system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-8"
"Ronyards","N13","Chardaan Sector","Matching Wookieepedia page has no usable sector field.","Ronyards","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-13"
"Rorak","S12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Rorak","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-12"
"Roundtree","M14","Arkam Sector","Matching Wookieepedia page has no usable sector field.","Roundtree system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-14"
"Ruan","K10","Alland Sector","Matching Wookieepedia page has no usable sector field.","Ruan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-10"
"Runaway Prince","R11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Runaway Prince","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-11"
"Ruul","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Ruul system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Rydonni Prime","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Rydonni Prime","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Sakifwanna","T11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Sakifwanna","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-11"
"Sakiya","S11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Sakiya","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-11"
"Salient","S3","Corporate Sector","No matching page title in the Wookieepedia grid category.","Salient","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-3"
"Salliche","K10","Alland Sector","Matching Wookieepedia page has no usable sector field.","Salliche","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-10"
"Salvara","Q8","Tennuutta","No matching page title in the Wookieepedia grid category.","Salvara","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_Q-8"
"Samaria","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Samaria","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Sanjin","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Sanjin","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Saqqar","T11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Saqqar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-11"
"Sarapin","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Sarapin","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Scardia","P12","Inra-su-Mar","No matching page title in the Wookieepedia grid category.","Scardia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-12"
"Sedratis","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Sedratis system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Selvaris","I9","Selvaris Sector","Matching Wookieepedia page has no usable sector field.","Selvaris","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-9"
"Seoul","H20","Dosuun Sector","Matching Wookieepedia page has no usable sector field.","Seoul system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_H-20"
"Seyugi","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Seyugi","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Shalam","M7","Adin Sector","Matching Wookieepedia page has no usable sector field.","Shalam","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-7"
"Shasfath","J14","Jandur Sector","Matching Wookieepedia page has no usable sector field.","Shasfath system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-14"
"Shawken","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Shawken","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Shibric","N14","Babbadod Sector","Matching Wookieepedia page has no usable sector field.","Shibric","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-14"
"Shiva","L21","Shiva Sector","Matching Wookieepedia page has no usable sector field.","Shiva system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-21"
"Shulstine","M9","Adari Sector","Matching Wookieepedia page has no usable sector field.","Shulstine","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-9"
